Date,Weekly U.S. Ending Stocks of Finished Motor Gasoline  (Thousand Barrels),U.S. Gasoline Demand (Thousand Barrels per Day),Weekly U.S. Imports of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. Product Supplied of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Refiner and Blender Net Production of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Exports of Finished Motor Gasoline  (Thousand Barrels per Day),Motor Gasoline Consumed by the Transportation Sector(T/ B per Day),Motor Gasoline Consumed by the Commercial Sector(T/ B per Day),Motor Gasoline Consumed by the Industrial Sector(T/ B per Day)
2017-08-01,23974,9698,29,2.494,9698.5,10240,638,9397.343,204.52700000000002,149.84
2017-09-01,22991,9397,50,2.7454,9397.2,9718,516,9036.794,196.68,144.091
2017-10-01,22288,9347,49,2.60575,9347.75,10053,679,9017.099,196.25099999999998,143.77700000000002
2017-11-01,21717,9421,19,2.687333333,9421.0,10270,752,8779.415,191.078,139.987
2017-12-01,24821,9109,14,2.6024,9109.4,10069,848,8910.553,193.93200000000002,142.078
2018-01-01,24241,8805,9,2.67975,8805.75,9324,798,8468.259,184.30599999999998,135.026
2018-02-01,25126,9007,32,2.70475,9007.75,9798,730,8476.507,184.485,135.158
2018-03-01,24623,9362,37,2.7089999999999996,9362.5,9982,832,9120.614,198.50400000000002,145.428
2018-04-01,23809,9325,18,2.88725,9325.75,10025,782,8871.431,193.08,141.455
2018-05-01,22123,9671,35,2.98675,9671.0,10037,629,9169.47,199.567,146.207
2018-06-01,23913,9556,11,2.9604,9556.2,10051,569,9441.017,205.477,150.537
2018-07-01,23854,9676,18,2.92875,9676.75,10173,775,9290.079,202.192,148.13
2018-08-01,23338,9588,75,2.912,9588.8,10143,645,9422.839,205.082,150.247
2018-09-01,24836,9318,83,2.92575,9318.0,9990,788,8819.961,191.96,140.634
2018-10-01,23958,9211,78,2.9415,9211.5,10226,1043,8956.106,194.923,142.805
2018-11-01,24255,9088,32,2.71425,9088.25,10146,830,8952.806,194.852,142.752
2018-12-01,25355,9062,37,2.4355,9062.5,10112,995,8845.011,192.505,141.033
2019-01-01,27226,8933,28,2.3375,8933.0,9576,677,8425.335,183.372,134.342
2019-02-01,26453,8875,56,2.39325,8875.5,9876,870,8637.483,187.989,137.724
2019-03-01,22634,9173,41,2.6294,9173.2,9934,761,8841.081,192.42,140.971
2019-04-01,20890,9484,102,2.903333333,9484.666667,10046,647,9016.374,196.235,143.766
2019-05-01,22230,9456,161,2.9356,9456.6,10134,617,9059.136,197.166,144.44799999999998
2019-06-01,22406,9690,34,2.77975,9690.75,10266,665,9322.894,202.90599999999998,148.653
2019-07-01,22372,9482,30,2.830333333,9482.0,10061,661,9139.469000000001,198.91400000000002,145.72799999999998
2019-08-01,22391,9716,100,2.6956,9716.0,10294,685,9463.929,205.976,150.90200000000002
